序号,单元,单元名称,小标题,习题,来源,习题描述,答案,答案验证,题型,知识点1,知识点2,考点,日期,流程,备注,
33,第八章,,,,课本例题P180,求$p(x) = a_0x^n +a_1x^{n-1}+...+a_{n-1}x+a_n$不定积分,![](.\华东数学分析\images\不定积分1.png),课本,计算,不定积分线性运算发展,,,20210124,,,
34,第八章,,,,课本例题P180,求$\int \frac{x^4+1}{x^2+1}dx$,![](.\华东数学分析\images\不定积分2.png),课本,计算,不定积分线性运算发展,,,20210124,,,
35,第八章,,,,课本例题P180,求$\int \frac{1}{cos^2xsin^2x}dx$,![](.\华东数学分析\images\不定积分3.png),课本,计算,不定积分线性运算发展,,,20210124,,,
36,第八章,,,,课本例题P180,$\int cos3x*sinxdx$,![](.\华东数学分析\images\不定积分4.png),课本,计算,$cosAsinB = \frac{sin(A+B)-sin(A-B)}{2}$,,,20210124,,,
37,第八章,,,,课本例题P180,求$\int (10^x - 10^{-x})^2dx$,![](.\华东数学分析\images\不定积分5.png),课本,计算,不定积分线性运算发展,,,20210124,,,
38,第八章,,,,课本例题P180,求$\int |x-1|dx$,![](.\华东数学分析\images\不定积分6.png),课本,计算,不定积分线性运算发展,,,20210124,,,
39,第八章,,,,课本例题P184,求$\int tanxdx$,![](.\华东数学分析\images\不定积分7.png),课本,计算,换元积分法,,,20210124,,,
40,第八章,,,,课本例题P184,求$\int \frac{1}{a^2+x^2}dx(a>0)$,![](.\华东数学分析\images\不定积分8.png),课本,计算,第一换元积分法,,,20210124,,,
75,第二十章,,,,课本例题P212,"$set L: \begin{cases} x=a \cos{\left(t \right)}\\y=a \sin{\left(t \right)} & t \in [0,pi]\end{cases}$，计算第一型曲线积分：$\int\limits^{L} \left(x^{2} + y^{2}\right)\, ds$",$=\pi a^{3}$,课本,计算题,第一曲线积分,,,20210507,,,
76,第二十章,,,,课本例题P212,"设L是$y^2 = 4x$从$(0,0)$到$(1,2)$的一段，求第一曲线积分$\int_Lyds$","$set L: \begin{cases} x=\frac{1}{4} y^{2}\\y=y & t \in [0,2]\end{cases}$
计算第一型曲线积分：$\int\limits^{L} y\, ds$
$= \int_0^2 y\sqrt{\frac{1}{4} y^{2} + 1}dy = 2*\frac{2}{3}(\frac{1}{4} y^{2} + 1)^{\frac{3}{2}}|_0^2$
$=\frac{4}{3}(\sqrt{8}-1)$",课本,计算题,第一曲线积分,,,20210511,,,
77,第二十章,,,,课本例题P213,计算$\int_L x^2ds$，其中L是球面$x^2+y^2+z^2=a^2$被平面$x+y+z=0$所截的圆周,"因为L满足轮换对称性，任意参数互换不影响结果，因此满足$\int_Lf(x)ds = \int_Lf(y)ds = \int_Lf(z)ds$这里$f(x)=x^2$故$\int_L x^2ds = \int_L y^2ds = \int_L z^2ds$$\int_L x^2ds + \int_L y^2ds + \int_L z^2ds = \int_L(x^2+y^2+z^2)ds = a^2 \int_Lds = a^2*2\pi$
故$\int_L x^2ds = \frac{2}{3}a^2\pi$",课本,计算题,第一曲线积分,,,20210511,,,
78,第二十章,,,,课后习题1(1),"$\int_L (x+y)ds$，其中L是以(0,0),(1,0),(0,1)为顶点的三角形","解：由于x+y=1
$\int_L (x+y)ds = \int_L 1ds = 周长 = 1+1+\sqrt{2} = 2+\sqrt{2}$",自己编的,计算题,第一曲线积分,,,20210511,,,
79,第二十章,,,,课后习题1(2),$\int_L (x^2+y^2)^{\frac{1}{2}}ds$其中L为以原点为中线，R为半径的右半圆周,"解：$set L: \begin{cases} x=a \cos{\left(t \right)}\\y=a \sin{\left(t \right)} & t \in [-\frac{\pi}{2},\frac{\pi}{2}]\end{cases}$
$f(x,y) = (x^2+y^2)^{\frac{1}{2}} = \sqrt{a^2} = a$ 
$ds = \sqrt{(-asint)^2 + (acost)^2} = \sqrt{a^2} = a$
故原式等于$\int_L (x^2+y^2)^{\frac{1}{2}}ds = \int_{-\frac{\pi}{2}}^{\frac{\pi}{2}}a*adt$
$=a^2 \int_{-\frac{\pi}{2}}^{\frac{\pi}{2}}dt = a^2x|_{-\frac{\pi}{2}}^{\frac{\pi}{2}} = a^2\pi$",自己编的,计算题,第一曲线积分,,,20210511,,,
